location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,04:00:00,53,93,NA,24,NA,6,2,17,20,PM10,93
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,04:00:00,53,93,NA,24,NA,6,2,17,20,PM10,93
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,04:00:00,53,93,NA,24,NA,6,2,17,20,PM10,93
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,06:00:00,50,89,NA,24,NA,6,2,19,14,PM10,89
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,08:00:00,48,86,NA,23,NA,6,2,22,11,PM10,86
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,09:00:00,47,85,NA,23,NA,6,2,22,13,PM10,85
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,10:00:00,46,83,NA,22,NA,6,2,22,17,PM10,83
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,11:00:00,46,81,NA,22,NA,6,2,22,17,PM10,81
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,12:00:00,44,80,NA,22,NA,6,2,25,26,PM10,80
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,13:00:00,48,79,NA,23,NA,7,2,31,34,PM10,79
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,14:00:00,54,79,NA,23,NA,7,2,35,45,PM10,79
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,15:00:00,56,78,NA,23,NA,7,2,33,58,PM10,78
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,16:00:00,56,78,NA,24,NA,7,2,32,71,PM10,78
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,17:00:00,57,79,NA,24,NA,7,2,30,71,PM10,79
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,18:00:00,57,79,NA,24,NA,7,2,29,84,OZONE,84
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,19:00:00,56,80,NA,24,NA,7,2,28,88,OZONE,88
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,20:00:00,56,80,NA,24,NA,7,2,28,88,OZONE,88
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,21:00:00,56,81,NA,24,NA,7,2,25,85,OZONE,85
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,22:00:00,56,81,NA,24,NA,7,2,19,78,PM10,81
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-21,23:00:00,56,82,NA,24,NA,7,2,15,69,PM10,82
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,00:00:00,56,83,NA,25,NA,7,2,16,58,PM10,83
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,01:00:00,57,85,NA,26,NA,7,2,17,46,PM10,85
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,02:00:00,58,87,NA,28,NA,7,2,19,37,PM10,87
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,03:00:00,58,90,NA,29,NA,7,2,21,28,PM10,90
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,04:00:00,60,92,NA,30,NA,7,2,23,20,PM10,92
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,06:00:00,63,96,NA,32,NA,8,2,27,13,PM10,96
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,08:00:00,67,103,NA,33,NA,8,2,34,10,PM10,103
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,08:00:00,67,103,NA,33,NA,8,2,34,10,PM10,103
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,09:00:00,70,107,NA,34,NA,8,2,37,10,PM10,107
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,10:00:00,73,111,NA,35,NA,8,2,37,13,PM10,111
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,11:00:00,77,114,NA,36,NA,8,2,38,18,PM10,114
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,12:00:00,80,116,NA,36,NA,8,2,38,25,PM10,116
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,13:00:00,77,117,NA,35,NA,8,2,38,36,PM10,117
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,14:00:00,70,119,NA,35,NA,8,2,38,47,PM10,119
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,15:00:00,70,120,NA,35,NA,8,2,38,47,PM10,120
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,16:00:00,70,121,NA,35,NA,8,2,33,68,PM10,121
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,17:00:00,71,122,NA,35,NA,8,2,31,80,PM10,122
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,18:00:00,71,124,NA,36,NA,8,2,30,89,PM10,124
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,19:00:00,73,125,NA,36,NA,8,2,30,90,PM10,125
"Bandra Kurla Complex, Mumbai - MPCB",2025-04-22,20:00:00,74,126,NA,36,NA,8,2,28,89,PM10,126
