location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,04:00:00,42,75,NA,26,NA,1,20,20,7,PM10,75
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,04:00:00,42,75,NA,26,NA,1,20,20,7,PM10,75
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,04:00:00,42,75,NA,26,NA,1,20,20,7,PM10,75
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,06:00:00,42,74,NA,26,NA,1,20,20,7,PM10,74
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,08:00:00,42,74,NA,25,NA,1,20,20,7,PM10,74
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,09:00:00,42,74,NA,25,NA,1,20,20,7,PM10,74
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,10:00:00,41,74,NA,25,NA,1,20,20,7,PM10,74
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,11:00:00,41,74,NA,25,NA,1,20,20,7,PM10,74
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,12:00:00,41,73,NA,25,NA,1,20,20,7,PM10,73
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,13:00:00,41,73,NA,25,NA,1,20,20,7,PM10,73
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,14:00:00,41,73,NA,25,NA,1,20,20,7,PM10,73
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,15:00:00,41,73,NA,25,NA,1,20,20,7,PM10,73
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,16:00:00,41,72,NA,25,NA,1,20,19,7,PM10,72
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,17:00:00,41,72,NA,25,NA,1,20,19,7,PM10,72
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2025-04-21,18:00:00,41,73,NA,25,NA,1,20,19,7,PM10,73
