location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,04:00:00,27,69,NA,20,NA,2,NA,38,39,PM10,69
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,04:00:00,27,69,NA,20,NA,2,NA,38,39,PM10,69
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,04:00:00,27,69,NA,20,NA,2,NA,38,39,PM10,69
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,06:00:00,27,67,NA,19,NA,2,NA,38,34,PM10,67
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,08:00:00,26,65,NA,19,NA,2,NA,41,28,PM10,65
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,09:00:00,25,64,NA,18,NA,2,NA,42,27,PM10,64
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,10:00:00,25,63,NA,18,NA,2,NA,43,28,PM10,63
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,11:00:00,24,62,NA,18,NA,2,NA,43,28,PM10,62
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,12:00:00,24,61,NA,17,NA,1,NA,43,34,PM10,61
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,13:00:00,23,60,NA,17,NA,1,NA,44,37,PM10,60
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,14:00:00,23,59,NA,17,NA,1,NA,44,42,PM10,59
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,15:00:00,23,58,NA,17,NA,1,NA,43,47,PM10,58
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,16:00:00,23,58,NA,17,NA,1,NA,42,52,PM10,58
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,17:00:00,23,57,NA,17,NA,1,NA,41,52,PM10,57
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,18:00:00,23,57,NA,17,NA,1,NA,41,60,OZONE,60
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,19:00:00,24,56,NA,17,NA,1,NA,42,60,OZONE,60
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,20:00:00,24,57,NA,17,NA,1,NA,42,60,OZONE,60
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,21:00:00,23,57,NA,18,NA,1,NA,42,55,PM10,57
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,22:00:00,23,58,NA,18,NA,1,NA,41,55,PM10,58
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-21,23:00:00,23,59,NA,18,NA,1,NA,42,55,PM10,59
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-22,00:00:00,23,60,NA,18,NA,1,NA,43,54,PM10,60
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-22,01:00:00,23,61,NA,18,NA,1,NA,44,55,PM10,61
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-22,02:00:00,24,63,NA,19,NA,1,NA,44,56,PM10,63
"Siddharth Nagar-Worli, Mumbai - IITM",2025-04-22,03:00:00,24,65,NA,19,NA,1,NA,44,53,PM10,65
