location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,04:00:00,20,75,NA,49,NA,3,19,25,31,PM10,75
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,04:00:00,20,75,NA,49,NA,3,19,25,31,PM10,75
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,04:00:00,20,75,NA,49,NA,3,19,25,31,PM10,75
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,06:00:00,20,74,NA,42,NA,3,19,26,28,PM10,74
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,08:00:00,19,72,NA,40,NA,3,18,28,24,PM10,72
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,09:00:00,19,71,NA,39,NA,3,18,27,24,PM10,71
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,10:00:00,20,71,NA,39,NA,3,18,28,24,PM10,71
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,11:00:00,20,70,NA,39,NA,3,18,28,24,PM10,70
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,12:00:00,19,70,NA,38,NA,3,18,28,29,PM10,70
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,13:00:00,19,69,NA,38,NA,3,18,27,31,PM10,69
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,14:00:00,18,68,NA,38,NA,3,18,27,33,PM10,68
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,15:00:00,18,67,NA,38,NA,3,18,26,36,PM10,67
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,16:00:00,17,65,NA,38,NA,3,18,26,40,PM10,65
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,17:00:00,16,64,NA,38,NA,3,19,24,40,PM10,64
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,18:00:00,16,64,NA,38,NA,3,19,24,45,PM10,64
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,19:00:00,16,64,NA,38,NA,3,19,23,45,PM10,64
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,20:00:00,16,64,NA,38,NA,3,19,23,45,PM10,64
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,21:00:00,16,64,NA,39,NA,3,19,22,44,PM10,64
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,22:00:00,16,64,NA,40,NA,3,19,23,44,PM10,64
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,23:00:00,16,65,NA,41,NA,3,19,22,43,PM10,65
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,00:00:00,16,65,NA,41,NA,3,20,22,43,PM10,65
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,01:00:00,16,65,NA,43,NA,3,20,20,42,PM10,65
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,02:00:00,17,66,NA,43,NA,3,20,21,42,PM10,66
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,03:00:00,17,66,NA,45,NA,3,21,20,41,PM10,66
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,04:00:00,17,67,NA,46,NA,3,21,19,40,PM10,67
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-22,19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,14:00:00,NA,NA,NA,NA,NA,NA,NA,22,56,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,15:00:00,NA,NA,NA,NA,NA,NA,NA,22,56,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,16:00:00,NA,NA,NA,NA,NA,NA,NA,18,57,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,17:00:00,NA,NA,NA,NA,NA,NA,NA,20,57,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,18:00:00,NA,NA,NA,NA,NA,NA,NA,25,59,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,19:00:00,NA,NA,NA,NA,NA,NA,NA,31,60,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,20:00:00,NA,NA,NA,NA,NA,NA,NA,35,62,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,21:00:00,NA,NA,NA,NA,NA,NA,NA,39,62,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,22:00:00,NA,NA,NA,NA,NA,NA,NA,41,62,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-23,23:00:00,NA,NA,NA,NA,NA,NA,NA,45,64,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,00:00:00,NA,NA,NA,NA,NA,NA,NA,45,64,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,01:00:00,NA,NA,NA,NA,NA,NA,NA,50,64,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,02:00:00,NA,NA,NA,NA,NA,NA,NA,55,64,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,03:00:00,NA,NA,NA,NA,NA,NA,NA,59,61,NA,NA
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,04:00:00,37,106,NA,25,NA,3,26,59,59,PM10,106
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,06:00:00,36,104,NA,26,NA,3,26,58,56,PM10,104
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,08:00:00,36,103,NA,28,NA,3,26,58,53,PM10,103
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,09:00:00,37,103,NA,28,NA,3,26,58,52,PM10,103
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-24,10:00:00,36,103,NA,28,NA,3,25,58,52,PM10,103
