location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,04:00:00,20,75,NA,49,NA,3,19,25,31,PM10,75
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,04:00:00,20,75,NA,49,NA,3,19,25,31,PM10,75
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,04:00:00,20,75,NA,49,NA,3,19,25,31,PM10,75
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,06:00:00,20,74,NA,42,NA,3,19,26,28,PM10,74
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,08:00:00,19,72,NA,40,NA,3,18,28,24,PM10,72
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,09:00:00,19,71,NA,39,NA,3,18,27,24,PM10,71
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,10:00:00,20,71,NA,39,NA,3,18,28,24,PM10,71
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,11:00:00,20,70,NA,39,NA,3,18,28,24,PM10,70
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,12:00:00,19,70,NA,38,NA,3,18,28,29,PM10,70
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,13:00:00,19,69,NA,38,NA,3,18,27,31,PM10,69
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,14:00:00,18,68,NA,38,NA,3,18,27,33,PM10,68
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,15:00:00,18,67,NA,38,NA,3,18,26,36,PM10,67
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,16:00:00,17,65,NA,38,NA,3,18,26,40,PM10,65
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,17:00:00,16,64,NA,38,NA,3,19,24,40,PM10,64
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,18:00:00,16,64,NA,38,NA,3,19,24,45,PM10,64
"Navy Nagar-Colaba, Mumbai - IITM",2025-04-21,19:00:00,16,64,NA,38,NA,3,19,23,45,PM10,64
