location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Kurla, Mumbai - MPCB",2025-04-21,04:00:00,NA,103,NA,3,NA,1,NA,3,28,PM10,103
"Kurla, Mumbai - MPCB",2025-04-21,04:00:00,NA,103,NA,3,NA,1,NA,3,28,PM10,103
"Kurla, Mumbai - MPCB",2025-04-21,04:00:00,NA,103,NA,3,NA,1,NA,3,28,PM10,103
"Kurla, Mumbai - MPCB",2025-04-21,06:00:00,NA,103,NA,3,NA,1,NA,3,28,PM10,103
"Kurla, Mumbai - MPCB",2025-04-21,08:00:00,NA,103,NA,3,NA,1,NA,3,28,PM10,103
"Kurla, Mumbai - MPCB",2025-04-21,09:00:00,NA,102,NA,3,NA,1,NA,3,28,PM10,102
"Kurla, Mumbai - MPCB",2025-04-21,10:00:00,NA,102,NA,3,NA,1,NA,3,28,PM10,102
"Kurla, Mumbai - MPCB",2025-04-21,11:00:00,NA,102,NA,3,NA,1,NA,3,28,PM10,102
"Kurla, Mumbai - MPCB",2025-04-21,12:00:00,NA,101,NA,3,NA,1,NA,3,29,PM10,101
"Kurla, Mumbai - MPCB",2025-04-21,13:00:00,NA,99,NA,3,NA,1,NA,3,28,PM10,99
"Kurla, Mumbai - MPCB",2025-04-21,14:00:00,NA,99,NA,3,NA,1,NA,3,28,PM10,99
"Kurla, Mumbai - MPCB",2025-04-21,15:00:00,NA,97,NA,3,NA,1,NA,3,28,PM10,97
"Kurla, Mumbai - MPCB",2025-04-21,16:00:00,NA,96,NA,3,NA,1,NA,4,28,PM10,96
"Kurla, Mumbai - MPCB",2025-04-21,17:00:00,NA,95,NA,3,NA,1,NA,4,28,PM10,95
"Kurla, Mumbai - MPCB",2025-04-21,18:00:00,NA,94,NA,3,NA,1,NA,4,28,PM10,94
"Kurla, Mumbai - MPCB",2025-04-21,19:00:00,NA,95,NA,3,NA,1,NA,4,28,PM10,95
"Kurla, Mumbai - MPCB",2025-04-21,20:00:00,NA,95,NA,3,NA,1,NA,4,28,PM10,95
"Kurla, Mumbai - MPCB",2025-04-21,21:00:00,NA,96,NA,3,NA,1,NA,4,28,PM10,96
"Kurla, Mumbai - MPCB",2025-04-21,22:00:00,NA,96,NA,3,NA,1,NA,4,28,PM10,96
"Kurla, Mumbai - MPCB",2025-04-21,23:00:00,NA,96,NA,3,NA,1,NA,4,28,PM10,96
"Kurla, Mumbai - MPCB",2025-04-22,00:00:00,NA,95,NA,3,NA,1,NA,3,28,PM10,95
"Kurla, Mumbai - MPCB",2025-04-22,01:00:00,NA,94,NA,3,NA,1,NA,3,28,PM10,94
"Kurla, Mumbai - MPCB",2025-04-22,02:00:00,NA,94,NA,3,NA,1,NA,3,28,PM10,94
"Kurla, Mumbai - MPCB",2025-04-22,03:00:00,NA,95,NA,3,NA,1,NA,3,28,PM10,95
"Kurla, Mumbai - MPCB",2025-04-22,04:00:00,NA,95,NA,3,NA,1,NA,3,28,PM10,95
"Kurla, Mumbai - MPCB",2025-04-22,06:00:00,NA,96,NA,3,NA,1,NA,3,29,PM10,96
"Kurla, Mumbai - MPCB",2025-04-22,08:00:00,NA,98,NA,4,NA,1,NA,3,28,PM10,98
"Kurla, Mumbai - MPCB",2025-04-22,08:00:00,NA,98,NA,4,NA,1,NA,3,28,PM10,98
"Kurla, Mumbai - MPCB",2025-04-22,09:00:00,NA,98,NA,4,NA,1,NA,3,28,PM10,98
"Kurla, Mumbai - MPCB",2025-04-22,10:00:00,NA,100,NA,4,NA,1,NA,3,28,PM10,100
"Kurla, Mumbai - MPCB",2025-04-22,11:00:00,NA,100,NA,4,NA,1,NA,3,28,PM10,100
"Kurla, Mumbai - MPCB",2025-04-22,12:00:00,NA,100,NA,4,NA,1,NA,3,28,PM10,100
"Kurla, Mumbai - MPCB",2025-04-22,13:00:00,NA,99,NA,4,NA,1,NA,4,28,PM10,99
"Kurla, Mumbai - MPCB",2025-04-22,14:00:00,NA,98,NA,4,NA,1,NA,4,28,PM10,98
"Kurla, Mumbai - MPCB",2025-04-22,15:00:00,NA,100,NA,4,NA,1,NA,4,28,PM10,100
"Kurla, Mumbai - MPCB",2025-04-22,16:00:00,NA,102,NA,3,NA,1,NA,5,29,PM10,102
"Kurla, Mumbai - MPCB",2025-04-22,17:00:00,NA,105,NA,4,NA,1,NA,6,29,PM10,105
"Kurla, Mumbai - MPCB",2025-04-22,18:00:00,NA,107,NA,4,NA,1,NA,5,29,PM10,107
"Kurla, Mumbai - MPCB",2025-04-22,19:00:00,NA,109,NA,4,NA,1,NA,5,29,PM10,109
"Kurla, Mumbai - MPCB",2025-04-22,20:00:00,NA,111,NA,4,NA,1,NA,5,29,PM10,111
"Kurla, Mumbai - MPCB",2025-04-22,21:00:00,NA,113,NA,4,NA,1,NA,5,29,PM10,113
"Kurla, Mumbai - MPCB",2025-04-22,22:00:00,NA,116,NA,4,NA,1,NA,6,28,PM10,116
"Kurla, Mumbai - MPCB",2025-04-22,23:00:00,NA,124,NA,4,NA,1,NA,6,28,PM10,124
"Kurla, Mumbai - MPCB",2025-04-23,00:00:00,NA,126,NA,4,NA,1,NA,7,28,PM10,126
